facility_code,facility_name,official_name,keph_level,facility_type,facility_type_category,owner,owner_type,regulatory_body,beds,cots,beds_and_cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,service_names,source,keph_level_numeric,facility_id,eligible_hemodialysis,eligible_icu_ventilator,eligible_anesthesia_theatre,eligible_mri_ct,eligible_xray,eligible_ultrasound,eligible_patient_monitor,equipment_eligible_any
12724.0,Salama (Baptist) Nursing Home,Salama Baptist Nursing Home,Level 3,Basic Health Centre,HEALTH CENTRE,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,Makueni,Kilome,Kilome,Kima Kiu/Kalanzoni,Operational,No,Yes,Yes,No,,kmhfr_openafrica_2020,3.0,12724.0,False,False,False,False,True,True,True,True
13468.0,Ahero County Hospital,Ahero County Hospital,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,30,0,30,Kisumu,Nyando,Nyando,Ahero,Operational,Yes,No,Yes,No,,kmhfr_openafrica_2020,4.0,13468.0,True,True,True,False,True,True,True,True
12172.0,Kangaru Dispensary (Embu),Kangaru Dispensary (Embu),Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Embu,Manyatta,Manyatta,Kirimari,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,12172.0,False,False,False,False,False,False,False,False
11794.0,Silaloni Dispensary,Silaloni Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kwale,Kinango,Kinango,Chengoni/Samburu,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,11794.0,False,False,False,False,False,False,False,False
16623.0,Nica Kaunjira Dispensary,Nica Kaunjira Dispensary,Level 2,Dispensary,DISPENSARY,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Meru,North Imenti,Imenti North,Ntima West,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,16623.0,False,False,False,False,False,False,False,False
11385.0,Garsen Health Centre,Garsen Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,4,0,4,Tana River,Garsen,Garsen,Garsen West,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,11385.0,False,False,False,False,True,True,True,True
10270.0,Githunguri Health Services Clinic,Githunguri Health Services Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,0,Kiambu,Githunguri,Githunguri,Githunguri,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,10270.0,False,False,False,False,False,False,False,False
11484.0,Kipini Health Centre,Kipini Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,12,0,12,Tana River,Garsen,Garsen,Kipini East,Operational,Yes,No,No,No,,kmhfr_openafrica_2020,3.0,11484.0,False,False,False,False,True,True,True,True
10582.0,Kiganjo Health Centre,Kiganjo Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,10,0,10,Nyeri,Nyeri Town,Nyeri Central,Kiganjo/Mathari,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10582.0,False,False,False,False,True,True,True,True
12371.0,Kituneni Medical Clinic,Kituneni Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,0,Machakos,Mwala,Mwala,Mbiuni,Operational,No,Yes,Yes,No,,kmhfr_openafrica_2020,2.0,12371.0,False,False,False,False,False,False,False,False
10203.0,Gakurwe Dispensary,Gakurwe Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Muranga,Mathioya,Mathioya,Kiru,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,10203.0,False,False,False,False,False,False,False,False
16083.0,Nyarotis Clinic,Nyarotis Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Kakamega,Likuyani,Likuyani,Nzoia,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,16083.0,False,False,False,False,False,False,False,False
11497.0,Kizingo Health Centre,Kizingo Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kilifi,Kilifi South,Kilifi South,Mwarakaya,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,11497.0,False,False,False,False,True,True,True,True
10256.0,Gikui Health Centre,Gikui Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Muranga,Kangema,Kangema,Muguru,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10256.0,False,False,False,False,True,True,True,True
11491.0,Kitobo Dispensary (Taveta),Kitobo Dispensary (Taveta),Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,1,Taita Taveta,Taveta,Taveta,Mboghoni,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,11491.0,False,False,False,False,False,False,False,False
11221.0,Amurt Health Centre (Likoni),Amurt Health Centre (Likoni),Level 3,Basic Health Centre,HEALTH CENTRE,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,0,Mombasa,Likoni,Likoni,Bofu,Operational,No,No,Yes,No,,kmhfr_openafrica_2020,3.0,11221.0,False,False,False,False,True,True,True,True
10268.0,Githunguri Dispensary,Githunguri Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Muranga,Kandara,Kandara,Kagundu-ini,Operational,No,No,No,No,,kmhfr_openafrica_2020,2.0,10268.0,False,False,False,False,False,False,False,False
10781.0,Murinduko Health Centre,Murinduko Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,8,0,8,Kirinyaga,Mwea,Kirinyaga South,Murinduko,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,10781.0,False,False,False,False,True,True,True,True
13538.0,Egetonto Health Centre,Egetonto Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kisii,Bomachoge Chache,Bomachoge Chache,Majoge Basi,Operational,No,No,No,No,,kmhfr_openafrica_2020,3.0,13538.0,False,False,False,False,True,True,True,True
